region,Gold,Silver,Bronze,Total
Australia,5,3,2,0.9633911368015413
Austria,20,25,28,7.032755298651253
Belarus,6,2,3,1.0597302504816954
Bulgaria,0,2,2,0.3853564547206166
Canada,38,30,24,8.863198458574182
China,12,12,15,3.7572254335260116
Croatia,4,6,1,1.0597302504816954
Czech Republic,6,8,7,2.023121387283237
Estonia,4,2,1,0.674373795761079
Finland,5,12,9,2.5048169556840074
France,13,14,19,4.431599229287091
Germany,41,47,26,10.982658959537572
Italy,10,7,20,3.5645472061657033
Japan,2,8,6,1.5414258188824663
Kazakhstan,0,1,1,0.1926782273603083
Latvia,0,4,3,0.674373795761079
Netherlands,18,15,16,4.720616570327553
Norway,34,26,32,8.863198458574182
Poland,5,6,5,1.5414258188824663
Russia,29,26,28,7.996146435452794
Slovakia,2,2,1,0.48169556840077066
Slovenia,2,4,6,1.1560693641618496
South Korea,17,14,6,3.5645472061657033
Sweden,14,13,20,4.527938342967245
Switzerland,20,9,16,4.335260115606936
UK,3,2,3,0.7707129094412332
USA,37,44,43,11.946050096339114
Ukraine,1,0,3,0.3853564547206166
