region,Medal,Total
Australia,Gold,5
Austria,Gold,20
Belarus,Gold,6
Bulgaria,Gold,0
Canada,Gold,38
China,Gold,12
Croatia,Gold,4
Czech Republic,Gold,6
Estonia,Gold,4
Finland,Gold,5
France,Gold,13
Germany,Gold,41
Italy,Gold,10
Japan,Gold,2
Kazakhstan,Gold,0
Latvia,Gold,0
Netherlands,Gold,18
Norway,Gold,34
Poland,Gold,5
Russia,Gold,29
Slovakia,Gold,2
Slovenia,Gold,2
South Korea,Gold,17
Sweden,Gold,14
Switzerland,Gold,20
UK,Gold,3
USA,Gold,37
Ukraine,Gold,1
Australia,Silver,3
Austria,Silver,25
Belarus,Silver,2
Bulgaria,Silver,2
Canada,Silver,30
China,Silver,12
Croatia,Silver,6
Czech Republic,Silver,8
Estonia,Silver,2
Finland,Silver,12
France,Silver,14
Germany,Silver,47
Italy,Silver,7
Japan,Silver,8
Kazakhstan,Silver,1
Latvia,Silver,4
Netherlands,Silver,15
Norway,Silver,26
Poland,Silver,6
Russia,Silver,26
Slovakia,Silver,2
Slovenia,Silver,4
South Korea,Silver,14
Sweden,Silver,13
Switzerland,Silver,9
UK,Silver,2
USA,Silver,44
Ukraine,Silver,0
Australia,Bronze,2
Austria,Bronze,28
Belarus,Bronze,3
Bulgaria,Bronze,2
Canada,Bronze,24
China,Bronze,15
Croatia,Bronze,1
Czech Republic,Bronze,7
Estonia,Bronze,1
Finland,Bronze,9
France,Bronze,19
Germany,Bronze,26
Italy,Bronze,20
Japan,Bronze,6
Kazakhstan,Bronze,1
Latvia,Bronze,3
Netherlands,Bronze,16
Norway,Bronze,32
Poland,Bronze,5
Russia,Bronze,28
Slovakia,Bronze,1
Slovenia,Bronze,6
South Korea,Bronze,6
Sweden,Bronze,20
Switzerland,Bronze,16
UK,Bronze,3
USA,Bronze,43
Ukraine,Bronze,3
